symbol,name,market,note
005930,,KOSPI,derived_from_krx_source_universe_500_kospi_only
000660,,KOSPI,derived_from_krx_source_universe_500_kospi_only
373220,,KOSPI,derived_from_krx_source_universe_500_kospi_only
207940,,KOSPI,derived_from_krx_source_universe_500_kospi_only
005380,,KOSPI,derived_from_krx_source_universe_500_kospi_only
000270,,KOSPI,derived_from_krx_source_universe_500_kospi_only
005490,,KOSPI,derived_from_krx_source_universe_500_kospi_only
051910,,KOSPI,derived_from_krx_source_universe_500_kospi_only
006400,,KOSPI,derived_from_krx_source_universe_500_kospi_only
068270,,KOSPI,derived_from_krx_source_universe_500_kospi_only
035420,,KOSPI,derived_from_krx_source_universe_500_kospi_only
035720,,KOSPI,derived_from_krx_source_universe_500_kospi_only
105560,,KOSPI,derived_from_krx_source_universe_500_kospi_only
055550,,KOSPI,derived_from_krx_source_universe_500_kospi_only
012330,,KOSPI,derived_from_krx_source_universe_500_kospi_only
096770,,KOSPI,derived_from_krx_source_universe_500_kospi_only
017670,,KOSPI,derived_from_krx_source_universe_500_kospi_only
066570,,KOSPI,derived_from_krx_source_universe_500_kospi_only
003670,,KOSPI,derived_from_krx_source_universe_500_kospi_only
086790,,KOSPI,derived_from_krx_source_universe_500_kospi_only
015760,,KOSPI,derived_from_krx_source_universe_500_kospi_only
034730,,KOSPI,derived_from_krx_source_universe_500_kospi_only
024110,,KOSPI,derived_from_krx_source_universe_500_kospi_only
009150,,KOSPI,derived_from_krx_source_universe_500_kospi_only
010130,,KOSPI,derived_from_krx_source_universe_500_kospi_only
018260,,KOSPI,derived_from_krx_source_universe_500_kospi_only
011200,,KOSPI,derived_from_krx_source_universe_500_kospi_only
003550,,KOSPI,derived_from_krx_source_universe_500_kospi_only
036570,,KOSPI,derived_from_krx_source_universe_500_kospi_only
251270,,KOSPI,derived_from_krx_source_universe_500_kospi_only
323410,,KOSPI,derived_from_krx_source_universe_500_kospi_only
028260,,KOSPI,derived_from_krx_source_universe_500_kospi_only
047050,,KOSPI,derived_from_krx_source_universe_500_kospi_only
032830,,KOSPI,derived_from_krx_source_universe_500_kospi_only
034220,,KOSPI,derived_from_krx_source_universe_500_kospi_only
009540,,KOSPI,derived_from_krx_source_universe_500_kospi_only
010950,,KOSPI,derived_from_krx_source_universe_500_kospi_only
000810,,KOSPI,derived_from_krx_source_universe_500_kospi_only
316140,,KOSPI,derived_from_krx_source_universe_500_kospi_only
267250,,KOSPI,derived_from_krx_source_universe_500_kospi_only
259960,,KOSPI,derived_from_krx_source_universe_500_kospi_only
352820,,KOSPI,derived_from_krx_source_universe_500_kospi_only
138040,,KOSPI,derived_from_krx_source_universe_500_kospi_only
402340,,KOSPI,derived_from_krx_source_universe_500_kospi_only
377300,,KOSPI,derived_from_krx_source_universe_500_kospi_only
042660,,KOSPI,derived_from_krx_source_universe_500_kospi_only
011790,,KOSPI,derived_from_krx_source_universe_500_kospi_only
000100,,KOSPI,derived_from_krx_source_universe_500_kospi_only
011070,,KOSPI,derived_from_krx_source_universe_500_kospi_only
271560,,KOSPI,derived_from_krx_source_universe_500_kospi_only
000720,,KOSPI,derived_from_krx_source_universe_500_kospi_only
033780,,KOSPI,derived_from_krx_source_universe_500_kospi_only
161390,,KOSPI,derived_from_krx_source_universe_500_kospi_only
006800,,KOSPI,derived_from_krx_source_universe_500_kospi_only
241560,,KOSPI,derived_from_krx_source_universe_500_kospi_only
030200,,KOSPI,derived_from_krx_source_universe_500_kospi_only
329180,,KOSPI,derived_from_krx_source_universe_500_kospi_only
006260,,KOSPI,derived_from_krx_source_universe_500_kospi_only
008770,,KOSPI,derived_from_krx_source_universe_500_kospi_only
001040,,KOSPI,derived_from_krx_source_universe_500_kospi_only
097950,,KOSPI,derived_from_krx_source_universe_500_kospi_only
000120,,KOSPI,derived_from_krx_source_universe_500_kospi_only
090430,,KOSPI,derived_from_krx_source_universe_500_kospi_only
051900,,KOSPI,derived_from_krx_source_universe_500_kospi_only
003490,,KOSPI,derived_from_krx_source_universe_500_kospi_only
004170,,KOSPI,derived_from_krx_source_universe_500_kospi_only
282330,,KOSPI,derived_from_krx_source_universe_500_kospi_only
007070,,KOSPI,derived_from_krx_source_universe_500_kospi_only
004020,,KOSPI,derived_from_krx_source_universe_500_kospi_only
000150,,KOSPI,derived_from_krx_source_universe_500_kospi_only
016360,,KOSPI,derived_from_krx_source_universe_500_kospi_only
006360,,KOSPI,derived_from_krx_source_universe_500_kospi_only
001450,,KOSPI,derived_from_krx_source_universe_500_kospi_only
010620,,KOSPI,derived_from_krx_source_universe_500_kospi_only
000210,,KOSPI,derived_from_krx_source_universe_500_kospi_only
375500,,KOSPI,derived_from_krx_source_universe_500_kospi_only
000990,,KOSPI,derived_from_krx_source_universe_500_kospi_only
021240,,KOSPI,derived_from_krx_source_universe_500_kospi_only
009830,,KOSPI,derived_from_krx_source_universe_500_kospi_only
047810,,KOSPI,derived_from_krx_source_universe_500_kospi_only
064350,,KOSPI,derived_from_krx_source_universe_500_kospi_only
029780,,KOSPI,derived_from_krx_source_universe_500_kospi_only
010140,,KOSPI,derived_from_krx_source_universe_500_kospi_only
018880,,KOSPI,derived_from_krx_source_universe_500_kospi_only
011170,,KOSPI,derived_from_krx_source_universe_500_kospi_only
139480,,KOSPI,derived_from_krx_source_universe_500_kospi_only
032640,,KOSPI,derived_from_krx_source_universe_500_kospi_only
078930,,KOSPI,derived_from_krx_source_universe_500_kospi_only
010060,,KOSPI,derived_from_krx_source_universe_500_kospi_only
035250,,KOSPI,derived_from_krx_source_universe_500_kospi_only
010120,,KOSPI,derived_from_krx_source_universe_500_kospi_only
006280,,KOSPI,derived_from_krx_source_universe_500_kospi_only
003230,,KOSPI,derived_from_krx_source_universe_500_kospi_only
071050,,KOSPI,derived_from_krx_source_universe_500_kospi_only
014680,,KOSPI,derived_from_krx_source_universe_500_kospi_only
267260,,KOSPI,derived_from_krx_source_universe_500_kospi_only
298040,,KOSPI,derived_from_krx_source_universe_500_kospi_only
180640,,KOSPI,derived_from_krx_source_universe_500_kospi_only
079550,,KOSPI,derived_from_krx_source_universe_500_kospi_only
001120,,KOSPI,derived_from_krx_source_universe_500_kospi_only
100001,,KOSPI,derived_from_krx_source_universe_500_kospi_only
100002,,KOSPI,derived_from_krx_source_universe_500_kospi_only
100003,,KOSPI,derived_from_krx_source_universe_500_kospi_only
100005,,KOSPI,derived_from_krx_source_universe_500_kospi_only
100007,,KOSPI,derived_from_krx_source_universe_500_kospi_only
101001,,KOSPI,derived_from_krx_source_universe_500_kospi_only
101002,,KOSPI,derived_from_krx_source_universe_500_kospi_only
101003,,KOSPI,derived_from_krx_source_universe_500_kospi_only
101005,,KOSPI,derived_from_krx_source_universe_500_kospi_only
